
2025/01/26 (04:11:11) | ===> btop++ v.1.4.0
2025/01/26 (04:11:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:13:51) | ===> btop++ v.1.4.0
2025/01/26 (04:13:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:14:27) | ===> btop++ v.1.4.0
2025/01/26 (04:14:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:15:13) | ===> btop++ v.1.4.0
2025/01/26 (04:15:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:15:45) | ===> btop++ v.1.4.0
2025/01/26 (04:15:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (04:16:25) | ===> btop++ v.1.4.0
2025/01/26 (04:16:25) | WARNING: Intel GPU: Failed to initialize PMU
